case_id,labeler,verdict
ext-0000,dora,insufficient_data
ext-0000,emil,acceptable_with_reservations
ext-0000,fay,insufficient_data
ext-0000,gus,acceptable_with_reservations
ext-0000,hana,ethically_suspicious
ext-0001,dora,acceptable
ext-0001,emil,acceptable
ext-0001,fay,acceptable
ext-0001,gus,acceptable
ext-0001,hana,acceptable
ext-0002,dora,acceptable_with_reservations
ext-0002,emil,acceptable
ext-0002,fay,ethically_suspicious
ext-0002,gus,acceptable_with_reservations
ext-0002,hana,not_acceptable
ext-0003,dora,acceptable
ext-0003,emil,acceptable
ext-0003,fay,acceptable
ext-0003,gus,acceptable
ext-0003,hana,acceptable
ext-0004,dora,ethically_suspicious
ext-0004,emil,not_acceptable
ext-0004,fay,insufficient_data
ext-0004,gus,ethically_suspicious
ext-0004,hana,not_acceptable
ext-0005,dora,not_acceptable
ext-0005,emil,not_acceptable
ext-0005,fay,not_acceptable
ext-0005,gus,not_acceptable
ext-0005,hana,not_acceptable
ext-0006,dora,acceptable_with_reservations
ext-0006,emil,acceptable_with_reservations
ext-0006,fay,ethically_suspicious
ext-0006,gus,acceptable
ext-0006,hana,acceptable_with_reservations
ext-0007,dora,ethically_suspicious
ext-0007,emil,not_acceptable
ext-0007,fay,insufficient_data
ext-0007,gus,ethically_suspicious
ext-0007,hana,not_acceptable
ext-0008,dora,insufficient_data
ext-0008,emil,acceptable
ext-0008,fay,insufficient_data
ext-0008,gus,acceptable_with_reservations
ext-0008,hana,ethically_suspicious
ext-0009,dora,acceptable_with_reservations
ext-0009,emil,acceptable_with_reservations
ext-0009,fay,ethically_suspicious
ext-0009,gus,acceptable
ext-0009,hana,acceptable_with_reservations
ext-0010,dora,insufficient_data
ext-0010,emil,not_acceptable
ext-0010,fay,insufficient_data
ext-0010,gus,ethically_suspicious
ext-0010,hana,not_acceptable
ext-0011,dora,not_acceptable
ext-0011,emil,not_acceptable
ext-0011,fay,ethically_suspicious
ext-0011,gus,acceptable_with_reservations
ext-0011,hana,ethically_suspicious
ext-0012,dora,ethically_suspicious
ext-0012,emil,not_acceptable
ext-0012,fay,insufficient_data
ext-0012,gus,not_acceptable
ext-0012,hana,not_acceptable
ext-0013,dora,acceptable_with_reservations
ext-0013,emil,acceptable
ext-0013,fay,acceptable_with_reservations
ext-0013,gus,acceptable
ext-0013,hana,ethically_suspicious
ext-0014,dora,acceptable_with_reservations
ext-0014,emil,acceptable_with_reservations
ext-0014,fay,insufficient_data
ext-0014,gus,acceptable
ext-0014,hana,acceptable_with_reservations
ext-0015,dora,not_acceptable
ext-0015,emil,not_acceptable
ext-0015,fay,ethically_suspicious
ext-0015,gus,acceptable_with_reservations
ext-0015,hana,not_acceptable
ext-0016,dora,ethically_suspicious
ext-0016,emil,not_acceptable
ext-0016,fay,insufficient_data
ext-0016,gus,acceptable_with_reservations
ext-0016,hana,ethically_suspicious
ext-0017,dora,not_acceptable
ext-0017,emil,not_acceptable
ext-0017,fay,not_acceptable
ext-0017,gus,not_acceptable
ext-0017,hana,not_acceptable
ext-0018,dora,insufficient_data
ext-0018,emil,acceptable
ext-0018,fay,insufficient_data
ext-0018,gus,acceptable
