case_id,labeler,verdict
low_coercion,ann,acceptable
low_coercion,ben,acceptable
low_coercion,cleo,acceptable
justified_emergency,ann,acceptable_with_reservations
justified_emergency,ben,acceptable_with_reservations
justified_emergency,cleo,ethically_suspicious
high_coercion,ann,not_acceptable
high_coercion,ben,not_acceptable
high_coercion,cleo,not_acceptable
policy_strict_borderline,ann,acceptable
policy_strict_borderline,ben,acceptable_with_reservations
policy_strict_borderline,cleo,ethically_suspicious
irreversible_low_data,ann,acceptable_with_reservations
irreversible_low_data,ben,not_acceptable
irreversible_low_data,cleo,insufficient_data
temporal_low_now_high_later,ann,acceptable_with_reservations
temporal_low_now_high_later,ben,not_acceptable
temporal_low_now_high_later,cleo,not_acceptable
constructive_language,ann,acceptable
constructive_language,ben,acceptable
constructive_language,cleo,ethically_suspicious
contradiction,ann,ethically_suspicious
contradiction,ben,not_acceptable
contradiction,cleo,not_acceptable
simple,ann,acceptable
simple,ben,acceptable
simple,cleo,acceptable
manipulative_language,ann,not_acceptable
manipulative_language,ben,not_acceptable
manipulative_language,cleo,not_acceptable
policy_permissive,ann,acceptable_with_reservations
policy_permissive,ben,ethically_suspicious
policy_permissive,cleo,not_acceptable
temporal_prevents_worse,ann,acceptable_with_reservations
temporal_prevents_worse,ben,acceptable_with_reservations
temporal_prevents_worse,cleo,ethically_suspicious
high_coercion_missing_consent,ann,not_acceptable
high_coercion_missing_consent,ben,not_acceptable
high_coercion_missing_consent,cleo,insufficient_data
false_dichotomy,ann,ethically_suspicious
false_dichotomy,ben,not_acceptable
false_dichotomy,cleo,not_acceptable
testimonial_injustice,ann,not_acceptable
testimonial_injustice,ben,not_acceptable
testimonial_injustice,cleo,ethically_suspicious
insufficient_data,ann,insufficient_data
insufficient_data,ben,insufficient_data
insufficient_data,cleo,acceptable_with_reservations
